Ticker,Direccion,Regimen_Mercado,Fecha_Entrada,Fecha_Salida,Precio_Entrada,Precio_Salida,Volumen_Acciones,Exposicion_EUR,Ganancia_Pct,PnL_Neto_EUR,Motivo_Salida,Confianza_IA
MEL,LONG,BULL,2025-09-25 09:00:00,2025-10-10 09:00:00,7.39,7.2812,1672,12355.03,-1.47%,-194.21,TRAILING_STOP,96.29%
TEF,LONG,BULL,2025-09-29 09:00:00,2025-10-21 15:00:00,4.321,4.577,9875,42669.6,5.92%,2485.31,TIEMPO_MAX,96.48%
COL,LONG,BULL,2025-09-29 09:00:00,2025-10-21 15:00:00,5.49,5.54,2073,11378.56,0.91%,92.25,TIEMPO_MAX,96.39%
PHM,LONG,BULL,2025-10-02 09:00:00,2025-10-03 09:00:00,93.1,96.768,133,12353.77,3.94%,474.37,TRAILING_STOP,96.29%
PHM,LONG,BULL,2025-10-06 09:00:00,2025-10-07 17:00:00,91.15,88.074,136,12388.88,-3.37%,-430.47,TRAILING_STOP,97.51%
TRE,LONG,BULL,2025-10-06 09:00:00,2025-10-17 09:00:00,30.32,30.6369,409,12388.88,1.05%,117.1,TRAILING_STOP,96.63%
MTS,LONG,BULL,2025-10-09 09:00:00,2025-10-10 09:00:00,35.1,33.4503,335,11773.09,-4.7%,-565.11,TRAILING_STOP,96.58%
NTGY,LONG,BULL,2025-10-09 09:00:00,2025-10-31 15:00:00,25.96,26.14,907,23546.17,0.69%,139.72,TIEMPO_MAX,97.56%
ALM,LONG,BULL,2025-10-13 09:00:00,2025-11-03 14:00:00,12.06,12.1149,859,10357.89,0.46%,36.79,TRAILING_STOP,96.88%
AENA,LONG,BULL,2025-10-13 09:00:00,2025-11-04 15:00:00,22.83,23.69,1026,23414.65,3.77%,858.61,TIEMPO_MAX,96.83%
VIS,LONG,BULL,2025-10-16 09:00:00,2025-11-07 15:00:00,53.0,53.3,230,12201.83,0.57%,56.86,TIEMPO_MAX,98.1%
MEL,LONG,BULL,2025-10-16 09:00:00,2025-11-05 09:00:00,7.12,7.045,1714,12201.83,-1.05%,-140.78,TRAILING_STOP,97.02%
LDA,LONG,BULL,2025-10-20 09:00:00,2025-10-24 16:00:00,1.274,1.2625,9585,12211.2,-0.9%,-122.25,TRAILING_STOP,97.36%
FDR,LONG,BULL,2025-10-23 09:00:00,2025-10-30 09:00:00,23.52,22.7178,528,12417.41,-3.41%,-435.94,TRAILING_STOP,97.9%
SAB,LONG,BULL,2025-10-23 09:00:00,2025-11-13 09:00:00,3.13,3.2631,14877,46565.28,4.25%,1933.35,TRAILING_STOP,97.85%
DOM,LONG,BULL,2025-10-27 09:00:00,2025-10-29 15:00:00,3.35,3.1925,3556,11911.32,-4.7%,-571.74,TRAILING_STOP,96.58%
